Rank,Company,Owner,"TOTAL INCOME 
(INR Cr)","NET OPERATING INCOME 
(INR Cr)","PROFIT 
(INR Cr)","Profit as % 
of Revenue","INTEREST COST / AS % OF 
EBITDA","cash & bank balance 
(INR Cr)","total debt 
(INR Cr)","debt-equity 
ratio","TOTAL ASSETS 
(INR Cr)","NET WORTH 
(INR Cr)",RONW%,ROCE%,"EMPLOYEES 
(IN NOS.)","T12M AVG 
M-CAP 
(INR Cr)",TSR%
10,Reliance Industries,Mukesh Ambani,922391,901064,69621,7.6%,23118,97225,458991,0.58,1396970,793481,10.5%,10.5%,347362,1921959,7.7%
2+1,LIC,Govt of India,860795,845966,40916,4.8%,128,41824,0,NAP,5252252,82937,63.3%,1%,98661,610044,48.8%
3-1,Indian Oil Corporation,Govt of India,780509,776352,41730,5.4%,7881,3159,132628,0.72,326519,183416,26.7%,21.2%,30321,225021,35.9%
40,ONGC,Govt of India,610642,591447,49221,8.1%,10194,36690,153181,0.45,570448,337070,18.4%,17.3%,15804,339534,33.5%
5+1,State Bank of India,Govt of India,594575,439189,67085,11.3%,259736,326572,5606147,NAP,6746909,387384,19%,1.1%,232296,681659,46.8%
6-1,Bharat Petroleum Corporation,Govt of India,453373,448083,26859,5.9%,4149,6286,54599,0.72,132680,75635,41.6%,31.3%,8613,129995,59.3%
70,Tata Motors,Tata Group,446155,437928,31399,7%,9986,45807,107263,1.26,233348,84918,48.8%,17.4%,60113,341566,15.2%
8+3,HDFC Bank,Diversified,407995,283649,64062,15.7%,154139,228835,3107503,NAP,4035827,456395,17.6%,2%,213565,1206302,14.8%
90,Tata Consultancy Services,Tata Group,245315,240893,45908,18.7%,778,13286,8021,0.09,100873,90254,51%,62.9%,631858,1457160,16.4%
10+3,ICICI Bank,Diversified,236038,159516,44256,18.8%,74108,162769,1651008,NAP,2369248,253033,19.4%,2%,141009,795592,37.2%
11-3,Tata Steel,Tata Group,226665,229171,-4437,NAP,7508,8678,87082,0.96,192994,90426,NAP,6.6%,78052,190622,15.8%
120,Larsen & Toubro,Diversified,224364,221113,13059,5.8%,9512,15358,116322,1.35,220573,86359,17.7%,14.5%,57265,487289,15.6%
13-3,Hindalco Industries,Aditya Birla Group,216194,215962,10155,4.7%,3858,14437,56356,0.53,170742,106146,10.1%,10.7%,39899,140666,31.7%
140,NTPC,Govt of India,183892,178501,20812,11.3%,12301,6847,237131,1.48,411639,160709,13.9%,10.3%,16360,349388,49.2%
150,JSW Steel,Savitri Devi Jindal,179686,175006,8812,4.9%,8105,12348,87948,1.13,171044,77669,12.5%,13.5%,13301,217274,25.7%
16+3,Infosys,Diversified,158381,153670,26233,16.6%,470,14786,8359,0.11,99185,76012,37.1%,44.7%,317240,687264,30.1%
17+4,Bharti Airtel,Mittal Brothers & Family,154127,149982,7467,4.8%,22648,16340,215592,2.63,334054,82019,17.1%,13.7%,14322,795530,60.8%
18+2,Coal India,Govt of India,152241,142324,37402,24.6%,819,30235,6523,0.08,175327,82730,52.1%,30.5%,228861,278603,31.5%
19-2,Vedanta,Anil Agarwal,149898,143727,4239,2.8%,9465,4327,87706,2.85,138531,30722,10.7%,17.6%,97015,143149,110.5%
20+4,Maruti Suzuki India,MNC,146584,141858,13488,9.2%,194,2827,119,0,89061,85636,16.8%,21%,12515,369650,6%
21+1,Mahindra & Mahindra,M&M Group,143831,139078,11269,7.8%,7488,12013,106626,1.61,195075,66191,20%,13.8%,24405,290780,84.6%
22+6,Bank of Baroda,Govt of India,141779,118379,18767,13.2%,69899,100290,1453761,NAP,1658278,119712,16.4%,1.2%,74227,129611,25.5%
23+4,Canara Bank,Govt of India,139165,110519,15279,11%,72118,151165,1369780,NAP,1535018,83015,19.3%,1.1%,82638,97414,26.2%
24+5,Axis Bank,Diversified,137989,112759,26386,19.1%,61391,116493,1295302,NAP,1518924,157024,18.4%,1.8%,104332,352974,14%
25-7,GAIL,Govt of India,135968,133228,9899,7.3%,719,1712,21794,0.28,105597,76997,14%,13.7%,14840,129350,53.2%
26-1,Nayara Energy,MNC,134371,133114,12321,9.2%,2242,6035,13496,0.31,59258,43491,33.3%,33.3%,NAVL,NAP,NAP
27-4,Grasim Industries,Aditya Birla Group,132498,130978,5624,4.2%,9277,4649,137144,1.55,360056,88652,11.9%,8.2%,25929,161029,28.7%
28+3,Punjab National Bank,Govt of India,123222,109065,9107,7.4%,68534,131400,1451811,NAP,1600024,102081,9.3%,0.6%,102349,125722,29.7%
29+3,Union Bank of India,Govt of India,118188,100376,13797,11.7%,63364,119646,1251568,NAP,1404784,91953,16.7%,1%,75866,100853,9%
300,HCL Technologies,Shiv Nadar,111365,109913,15702,14.1%,553,20150,5758,0.08,77476,68263,23.5%,28.6%,237248,427344,43.4%
31+4,Bajaj Finserv,Bajaj Group,110391,110382,8148,7.4%,18607,12387,288933,NAP,392708,60329,29.2%,13.2%,139000,265169,1.2%
32-6,Steel Authority of India,Govt of India,110239,105378,3067,2.8%,2474,673,36323,0.64,102478,57101,6.4%,7.3%,45314,55065,26.9%
33+3,Samvardhana Motherson Intl.,Vivek Chaand Sehgal,99070,98692,2716,2.7%,1811,6986,19922,0.76,50474,26155,12.4%,13.1%,38491,102405,86.4%
34+5,Kotak Mahindra Bank,Uday Kotak,94274,56237,18213,19.3%,22567,65206,520374,NAP,767914,129972,14.8%,2.6%,77923,353299,-2.6%
35-2,Wipro,Azim Premji,92363,89760,11045,12%,1255,9695,16465,0.22,96637,74533,14.6%,16.4%,234054,259072,38.5%
36+1,Power Finance Corporation,Govt of India,91586,91508,19761,21.6%,57962,3389,861961,NAP,996250,101147,28.6%,10.2%,545,149235,47.4%
37+1,ITC,Diversified,74225,70881,20459,27.6%,80,7218,303,0,76065,74507,28.9%,37.3%,55246,570174,10.5%
38+3,Hyundai Motor India,MNC,71441,69829,6060,8.5%,158,9017,833,0.08,13507,10666,39.5%,46%,5672,147605,-4.9%
39+6,Interglobe Aviation,Rahul Bhatia,71226,68904,8172,11.5%,4208,16721,51280,25.69,64843,1996,-809%,19.5%,36860,148333,51.3%
40+6,Bank of India,Govt of India,67489,61073,6564,9.7%,37757,83123,821572,NAP,925922,63706,11.2%,0.8%,50944,55766,0.9%
41+2,Tata Power Company,Tata Group,64981,61449,3696,5.7%,4633,9152,53689,1.66,108084,32355,14%,10.5%,23652,129656,55.9%
42+9,Indian Bank,Govt of India,64232,55650,8419,13.1%,32341,42177,711096,NAP,796825,54273,16.7%,1.1%,40251,69303,27.4%
43-1,Hindustan Unilever,MNC,62911,61896,10277,16.3%,334,7559,1484,0.03,59444,51218,20.3%,25%,7215,596499,-1.2%
