rank,company,ownership,total_income,operating_income,profit,profit_margin_percentage,cash_balance,debt,total_assets,net_worth,employees,debt_to_assets,return_on_assets,revenue_per_employee,profit_per_employee,category_size,profitability_category,sector,stability_score
1,Reliance Industries,Mukesh Ambani,922391.0,901064.0,69621.0,7.6,97225.0,458991.0,1396970.0,793481.0,347362,32.85618159301918,4.9837147540748905,2.6554171152860704,0.20042779578652817,Very Large,Low,Other,-7.163260771526948
2,LIC,Govt of India,860795.0,845966.0,40916.0,4.8,41824.0,0.0,5252252.0,82937.0,98661,0.0,0.779018219232436,8.72477473368403,0.4147130071659521,Very Large,Low,Other,1.7571729764679989
3,Indian Oil Corporation,Govt of India,780509.0,776352.0,41730.0,5.4,3159.0,132628.0,326519.0,183416.0,30321,40.61876950499052,12.780266998245123,25.74153227136308,1.37627386959533,Very Large,Low,Oil & Gas,-10.008090555220369
4,ONGC,Govt of India,610642.0,591447.0,49221.0,8.1,36690.0,153181.0,570448.0,337070.0,15804,26.852754326424144,8.628481474209744,38.63844596304733,3.114464692482916,Very Large,Low,Oil & Gas,-5.140393094550248
5,State Bank of India,Govt of India,594575.0,439189.0,67085.0,11.3,326572.0,5606147.0,6746909.0,387384.0,232296,83.09207964713916,0.9943071708837335,2.5595576333643284,0.28879102524365463,Very Large,Medium,Banking & Financial Services,-21.208057110300434
6,Bharat Petroleum Corporation,Govt of India,453373.0,448083.0,26859.0,5.9,6286.0,54599.0,132680.0,75635.0,8613,41.15088935785348,20.243442870063312,52.638221293393705,3.118425635667015,Very Large,Low,Oil & Gas,-9.860922520349712
7,Tata Motors,Tata Group,446155.0,437928.0,31399.0,7.0,45807.0,107263.0,233348.0,84918.0,60113,45.96696779059602,13.45586848826645,7.42193868214862,0.5223329396303629,Very Large,Low,Automobile,-11.081712292370195
8,HDFC Bank,Diversified,407995.0,283649.0,64062.0,15.7,228835.0,3107503.0,4035827.0,456395.0,213565,76.99792384559596,1.5873326582135459,1.9104019853440404,0.29996488188607684,Very Large,Medium,Banking & Financial Services,-18.04629032166146
9,Tata Consultancy Services,Tata Group,245315.0,240893.0,45908.0,18.7,13286.0,8021.0,100873.0,90254.0,631858,7.951582683175874,45.51069166179255,0.3882438775800892,0.07265556501619035,Very Large,Medium,IT & Technology,4.461081062325895
10,ICICI Bank,Diversified,236038.0,159516.0,44256.0,18.8,162769.0,1651008.0,2369248.0,253033.0,141009,69.68489579816043,1.8679344669701103,1.6739215227396833,0.31385230729953406,Very Large,Medium,Banking & Financial Services,-14.914369909777278
11,Tata Steel,Tata Group,226665.0,229171.0,-4437.0,7.8,8678.0,87082.0,192994.0,90426.0,78052,45.121609998238284,-2.299035203166938,2.9040255214472404,-0.05684671757290012,Very Large,Low,Metals & Mining,-10.933470677844907
12,Larsen & Toubro,Diversified,224364.0,221113.0,13059.0,5.8,15358.0,116322.0,220573.0,86359.0,57265,52.73628231923219,5.920488908433943,3.9179952850781454,0.22804505369772113,Very Large,Low,Other,-13.648549369143096
13,Hindalco Industries,Aditya Birla Group,216194.0,215962.0,10155.0,4.7,14437.0,56356.0,170742.0,106146.0,39899,33.00652446381089,5.947570017921777,5.418531792776761,0.2545176570841374,Very Large,Low,Other,-8.05609504398449
14,NTPC,Govt of India,183892.0,178501.0,20812.0,11.3,6847.0,237131.0,411639.0,160709.0,16360,57.60654359766689,5.055886347017654,11.240342298288509,1.2721271393643032,Very Large,Medium,Other,-13.48751865105104
15,JSW Steel,Savitri Devi Jindal,179686.0,175006.0,8812.0,4.9,12348.0,87948.0,171044.0,77669.0,13301,51.418348495124064,5.151890741563574,13.509209833847079,0.662506578452748,Very Large,Low,Metals & Mining,-13.538028343584106
16,Infosys,Diversified,158381.0,153670.0,26233.0,16.6,14786.0,8359.0,99185.0,76012.0,317240,8.427685637949287,26.448555729192925,0.4992466271592485,0.08269133778842516,Very Large,Medium,IT & Technology,3.3104804153853915
17,Bharti Airtel,Mittal Brothers & Family,154127.0,149982.0,7467.0,4.8,16340.0,215592.0,334054.0,82019.0,14322,64.53806869548036,2.235267351985008,10.761555648652422,0.5213657310431504,Very Large,Low,Telecom,-17.566932412124984
18,Coal India,Govt of India,152241.0,142324.0,37402.0,24.6,30235.0,6523.0,175327.0,82730.0,228861,3.7204765951621823,21.332709736663492,0.6652116350098969,0.16342670878830381,Very Large,High,Metals & Mining,7.025001055171194
